country,city,apartment_living_area_sqm,price_in_USD,price_per_sqm,apartment_bedrooms,apartment_bathrooms,area_flag_outlier,price_flag_outlier
Turkey,"Mediterranean Region, Turkey",110,315209,2865.5363636363636,2.0,2.0,FALSE,FALSE
Turkey,"Kalkan, Mediterranean Region, Kas, Turkey",480,1108667,2309.7229166666666,NA,NA,FALSE,FALSE
Turkey,"Mediterranean Region, Antalya, Turkey",60,173211,2886.85,1.0,1.0,FALSE,FALSE
Thailand,"Chon Buri Province, Pattaya, Thailand",40,99900,2497.5,1.0,1.0,FALSE,FALSE
Thailand,"Chon Buri Province, Pattaya, Thailand",36,67000,1861.111111111111,2.0,1.0,FALSE,FALSE
Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",245,274415,1120.061224489796,4.0,4.0,FALSE,FALSE
Thailand,"Chon Buri Province, Pattaya, Thailand",25,44700,1788,1.0,1.0,FALSE,FALSE
Northern Cyprus,"Kyrenia, Girne (Kyrenia) District, Northern Cyprus",86,199268,2317.0697674418607,1.0,2.0,FALSE,FALSE
UAE,UAE,38,97930,2577.1052631578946,1.0,1.0,FALSE,FALSE
Czech Republic,"Prague, Czech Republic",54,314990,5833.148148148148,2.0,1.0,FALSE,FALSE
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",135,260863,1932.3185185185184,3.0,2.0,FALSE,FALSE
Belarus,"Minsk, Belarus",44,122000,2772.7272727272725,NA,NA,FALSE,FALSE
Belarus,"Minsk, Belarus",50,159000,3180,NA,NA,FALSE,FALSE
Montenegro,"Dobrota, Kotor Municipality, Montenegro",80,286881,3586.0125,2.0,1.0,FALSE,FALSE
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",50,258558,5171.16,2.0,2.0,FALSE,FALSE
Turkey,"Aegean Region, Fethiye, Turkey",200,239124,1195.62,NA,NA,FALSE,FALSE
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",50,286406,5728.12,NA,1.0,FALSE,FALSE
Turkey,"Bahcelievler, Marmara Region, Turkey",43,310861,7229.325581395349,1.0,1.0,FALSE,FALSE
Montenegro,"Tivat, Tivat Municipality, Montenegro",64,316296,4942.125,1.0,NA,FALSE,FALSE
Turkey,"Marmara Region, Evliya Celebi Mahallesi, Turkey",76,305605,4021.1184210526317,1.0,1.0,FALSE,FALSE
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",117,266297,2276.042735042735,2.0,2.0,FALSE,FALSE
Montenegro,"Tivat, Tivat Municipality, Montenegro",65,271732,4180.492307692308,1.0,NA,FALSE,FALSE
Turkey,"Mediterranean Region, Antalya, Turkey",75,249993,3333.24,2.0,1.0,FALSE,FALSE
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",82,288036,3512.6341463414633,2.0,2.0,FALSE,FALSE
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",75,248071,3307.6133333333332,2.0,1.0,FALSE,FALSE
Uzbekistan,"Tashkent, Chilanzar District, Uzbekistan",44,90021,2045.9318181818182,1.0,1.0,FALSE,FALSE
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",110,276080,2509.818181818182,2.0,2.0,FALSE,FALSE
Turkey,"Marmara Region, Turkey",49,266297,5434.632653061224,1.0,1.0,FALSE,FALSE
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",78,196257,2516.1153846153848,2.0,1.0,FALSE,FALSE
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",90,199995,2222.1666666666665,2.0,NA,FALSE,FALSE
Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",50,292221,5844.42,2.0,2.0,FALSE,FALSE
Montenegro,"Budva, Bar, Bar Municipality, Montenegro",92,270645,2941.7934782608695,2.0,NA,FALSE,FALSE
Turkey,"Uemraniye, Marmara Region, Turkey",61,296731,4864.44262295082,2.0,1.0,FALSE,FALSE
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",216,338143,1565.476851851852,3.0,3.0,FALSE,FALSE
Turkey,"Yaylali, Mediterranean Region, Alanya, Turkey",61,293471,4811,2.0,2.0,FALSE,FALSE
Turkey,"Mediterranean Region, Antalya, Turkey",195,368469,1889.5846153846153,4.0,2.0,FALSE,FALSE
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",135,299461,2218.2296296296295,3.0,2.0,FALSE,FALSE
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",53,282601,5332.094339622641,NA,NA,FALSE,FALSE
Turkey,"Kahyalar, Mediterranean Region, Gazipasa, Turkey",174,342382,1967.712643678161,4.0,3.0,FALSE,FALSE
Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",137,413560,3018.6861313868612,4.0,2.0,FALSE,FALSE
Montenegro,"Boreti, Budva Municipality, Montenegro",78,247131,3168.346153846154,1.0,1.0,FALSE,FALSE
Turkey,"Kadikoey, Marmara Region, Turkey",43,291297,6774.3488372093025,1.0,1.0,FALSE,FALSE
Turkey,"Doesemealti, Mediterranean Region, Turkey",143,439119,3070.762237762238,4.0,2.0,FALSE,FALSE
Uzbekistan,"Tashkent, Uzbekistan",63,64954,1031.015873015873,NA,NA,FALSE,FALSE
Turkey,"Merdivenlikuyu, Mediterranean Region, Erdemli, Turkey",125,277167,2217.336,3.0,2.0,FALSE,FALSE
Turkey,"Mediterranean Region, Antalya, Turkey",47,295644,6290.297872340426,1.0,1.0,FALSE,FALSE
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",107,258689,2417.654205607477,2.0,2.0,FALSE,FALSE
Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",101,270645,2679.6534653465346,2.0,2.0,FALSE,FALSE
Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",95,295644,3112.0421052631577,2.0,1.0,FALSE,FALSE
Turkey,"Ishakli, Mediterranean Region, Alanya, Turkey",55,317383,5770.6,1.0,1.0,FALSE,FALSE
Montenegro,"Tivat, Tivat Municipality, Montenegro",35,393277,11236.485714285714,NA,1.0,FALSE,FALSE
Turkey,"Mediterranean Region, Antalya, Turkey",150,344556,2297.04,5.0,2.0,FALSE,FALSE
Turkey,"Marmara Region, Turkey",73,332600,4556.164383561644,2.0,2.0,FALSE,FALSE
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",85,380425,4475.588235294118,2.0,1.0,FALSE,FALSE
Montenegro,"Radovanici, Herceg Novi, Montenegro",50,323253,6465.06,1.0,1.0,FALSE,FALSE
Montenegro,"Станишичи, Budva Municipality, Montenegro",49,336245,6862.142857142857,1.0,1.0,FALSE,FALSE
Turkey,"Mediterranean Region, Antalya, Turkey",97,183691,1893.721649484536,2.0,2.0,FALSE,FALSE
Montenegro,"Trojica, Prcanj, Kotor Municipality, Montenegro",131,552666,4218.824427480916,5.0,3.0,FALSE,FALSE
Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",120,211951,1766.2583333333334,2.0,1.0,FALSE,FALSE
Montenegro,"Dobra Voda, Bar Municipality, Montenegro",155,282601,1823.2322580645161,2.0,NA,FALSE,FALSE
Montenegro,"Zelenika-Kuti, Herceg Novi, Montenegro",90,325666,3618.511111111111,3.0,1.0,FALSE,FALSE
Turkey,"Central Anatolia Region, Ankara, Turkey",204,224994,1102.9117647058824,4.0,2.0,FALSE,FALSE
Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",51,216299,4241.156862745098,1.0,1.0,FALSE,FALSE
Turkey,"Mediterranean Region, Antalya, Turkey",60,281514,4691.9,2.0,2.0,FALSE,FALSE
Turkey,"Kalkan, Mediterranean Region, Kas, Turkey",70,292384,4176.914285714286,2.0,1.0,FALSE,FALSE
Turkey,"Marmara Region, Turkey",111,268471,2418.6576576576576,3.0,2.0,FALSE,FALSE
Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",100,153257,1532.57,3.0,2.0,FALSE,FALSE
